ID ,url,firstComment,latestComments/0/text,latestComments/1/text,latestComments/2/text,latestComments/3/text,latestComments/4/text,latestComments/5/text,latestComments/6/text,latestComments/7/text,latestComments/8/text
JDC COMMENTS,https://www.instagram.com/p/CnSjP6JsHdK/,M'agradaria aplaudir lAnna de Terres Llunyanes. Una gran professional i una concursant de 10!,M'agradaria aplaudir lAnna de Terres Llunyanes. Una gran professional i una concursant de 10!,Estava clarisim,"Está claro, pero da pena ante evidente derrota, parecido al del pèsols, no se puntuuo bien, se iba ha jugar",Tot correcteeeeee!!!!! Un altre nit mes gaudin amb vosaltres! Em faltarán cap de setmana al any per poder anar a tots els restaurants q surten,"Retaurants amb conceptes molts diferents....crec k no heu encertat gaire, dificil valorar.",Previsibla el resultat,,,
JDC COMMENTS,https://www.instagram.com/p/CnC_k3DBoGo/,Alfonso!!♥️,Alfonso!!♥️,"Dels millors moments de la meva vida, sortir a Joc De Cartes ❤","Al Maresme som molt bona gent!!! @madxef Neo, brutal!",Neobrutal,Marc brutal de Neoooo,Estrellas de Hollywood,Quin nivell al maresme tu....,"Putser m'estic avançant,però  aplaudeixo el comportament dels concursants d'avui,correctes, simpatics i de bon rotllo.",
JDC COMMENTS,https://www.instagram.com/p/CnAlcifITXU/,@jocdecartestv3 @tv3cat #teamManoli #jdcmenúlhtv3,@jocdecartestv3 @tv3cat #teamManoli #jdcmenúlhtv3,Que bien que me lo pasé! Muchas gracias por todo,Us heu equivocat al sumar les puntuacions finals d'en Marc diria. La Manolia passa per davant del cítrics,Buenas  yo he ido a comer a cal la Manolo y brutal la comida vale la pena ir y creo igual que vosotros tenía que haber ganado,"Manoli la millor. Llàstima q la propietària de la Rosa púrpura hagi estat tan altiva i desagradable, perquè el menjar semblava bo.","Que pinta más buena tenía la comida que hizo, paea mí era la ganadora",Manoli campionaaa!!!!,Manoli campionaaa!!!!,
JDC COMMENTS,https://www.instagram.com/p/CnAme22oAG7/,Molt descontenta amb el resultat final. Premi gens merescut. Amb el seu servei jo de ben segur no hi tornaria.,Molt descontenta amb el resultat final. Premi gens merescut. Amb el seu servei jo de ben segur no hi tornaria.,Massa prepotència i poca talla humana i menys honestatat.,Quan guanyes demanant disculpes..alguna cosa No has fet bé. JOC BRUT,La mitjagalta molt aceptable,Es te que se mes humilt i vota correctament la rosa purpura no me agradad,joc molt brut... total per acabar servint uns espaguetis amb tomaquet! si aprengués del @mitjagalta li aniria millor!,"Crec que no cal mirar tant amb lupa , si es bo o no tant bo ,es diu , la mida es el de menys !!! ‍♀️","Mitja galta guanyador sens dubte‍♀, molt enfadada amb la guanyadora, no s'ho mereixia",Hahhahahhahhahahha tela!
JDC COMMENTS,https://www.instagram.com/p/Cm9CdqbId2P/,@veroverito33,@veroverito33,Que esteu a casa mevaaaaa!!!!,"No entenc que si anuncien el programa a dos quarts, siguin tres quarts i encara no comenci, pels qui ens agrada el programa i matinem acabem per no poder veure'l.",@lalbertet @lanoiadelbarret,,Quina merda de programa! No ho sabeu fer en positiu?,@sifossisjo,"A veure si trenca les cames ,ha algun pijo.",Uoooo serà boníssim segur!!! @javier_jaizkibel
JDC COMMENTS,https://www.instagram.com/p/Cm_kMvHonQA/,me podéis decir como descargar la APP para buscar los restaurantes?gracias no la encuentro,me podéis decir como descargar la APP para buscar los restaurantes?gracias no la encuentro,"Estaria genial que un dels programes estigui dedicat al millor menú sense gluten, els celíacs seríem molts feliços!",cucú! Esperant que comenci,Millor pèsol de Llavaneres al @rstpinsmar,"Sabeu que a Caldes d’Estrac primer poble de la Pesolada han fet durant diferents anys un concurs de Videopèsols??
En podríeu visionar algun!! N’hi han de molt bons!!","Per menjar pèsols no cal que miri el programa, vaig directamente a Can Roca de Tiana i llestos.",@marcballo,@eduvergesros,@carlavicens
JDC COMMENTS,https://www.instagram.com/p/CmyjuZtInJY/,@_zulee,@_zulee,"Me ha encantado este programa, donde todo el mundo se ha comportado como profesionales y además con empatía. Así mejor!!!",,Molt Bon programa!,No es pot tolerar la mala educació del penúltim programa .,Per lo menys aquesta vegada es varen comporta tots. De vegades fa pena veure la mala baba dels participants,Quien ganó ?,Els postres segur,Necesitas una pagina web? Gestionar redes sociales? Diseño grafico? Ponte en contacto nosotros.
JDC COMMENTS,https://www.instagram.com/p/CnAiQHEokQ2/,@marte_valls,@marte_valls,,"Es mereixia guanyar la Manoli , el Xevier per la meva part ha quedat últim el seu lloc es correcte jo personalment no aniria a menjar el mitja galta",,"Di que si Manoli, que de cotillas a ese nivel el mundo esta lleno!!!!",Tal com raja,,,L'Hospitalet❤️ Si t'agrada bé i si no... També❤️❤️❤️❤️
JDC COMMENTS,https://www.instagram.com/p/CnAgqqLtqHy/,@mmonica29,@mmonica29,@ricard_ce,@racheleisee,Amb la @ninfaflordneu,"El de Cal Bastida, potser feia d'actor...de mal actor",El de Cal Bastida...MOLT MALAMENT,"Perquè es presenta gent amb tan mala baba, destrossa una mica el programa, però be, serveix per saber a on no aniràs mai.",@ricard_ce Esto mismo comentaba yo ayer. Y la verdad es que no me mola lada. Me gustaba más el año pasado.,@zetec87 com ens coneixem
JDC COMMENTS,https://www.instagram.com/p/Cm1W5mYo5Wo/,Se'm feia la boca aigua veient-ho!!!!! Sens dubte aniré al @mitjagalta i a Ca la Manoli!,Se'm feia la boca aigua veient-ho!!!!! Sens dubte aniré al @mitjagalta i a Ca la Manoli!,Quina vergonya la senyora prepotent !!!!!,volia dir...mitja galta,mitja falta,"Es mereixia guanyar...Quan guanyes demanant disculpes, alguna cosa No has fet bé, eh Rosa Púrpura???",Les llenties......nosé...la resta molt bona pinta,Spaghettisdd,Buufa quina pinta tenen aquets platilluuusss,Per nosaltres seguiu sent els millors @mitjagalta  sou un equip de 10 i feu una cuina de 10.
JDC COMMENTS,https://www.instagram.com/p/CmumE4woJky/,"Es un premi molt merescut. Hem anat i ha sigut increïble tant rl menjar, el lloc com la Claudia","Es un premi molt merescut. Hem anat i ha sigut increïble tant rl menjar, el lloc com la Claudia",Aquest proper finde hi anem. Es un regal de noces d'uns molt bons amics. Segur que la realitat encara superarà les nostres expectatives .... Quines ganes de venir !!!!,Muy merecido!!,@jocdecartestv3 Qui tria la música del programa???,Merd.... espoiler,Haurien de fer joc de cartes de dilluns a divendres!!!!!,Quina emoció,"Fonda Batista crec et fas mal a tú mateix... quan jugues amb desventatge has de ser humil i reconèixer el mèrit del contrincant, crec que vosaltres també hi haurieu guanyat","Fonda Batista , joc brut"
